date,TENCENT,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,MAOTAI,LZLJ
2016-05-02,141.8737,23.1800,50.3900,36.2590,33.6975,119.4900,0.8832,14.3287,252.2200,23.5000
2016-05-09,142.9799,22.6300,51.0800,36.2415,35.4960,119.8100,1.0245,13.8407,250.9600,23.5000
2016-05-16,146.1142,23.8050,50.6200,36.0855,35.1400,117.3500,1.1083,14.6853,251.2600,23.8300
2016-05-23,157.8218,25.0875,52.3200,37.3800,35.6120,119.3800,1.1475,14.8693,252.4400,23.3800
2016-05-30,157.4531,24.4800,51.7900,36.7930,36.2770,118.4700,1.1620,14.5993,283.8900,25.5800
2016-06-06,161.4171,24.7075,51.4800,36.6595,35.8955,116.6200,1.1550,14.5860,274.2800,26.3000
2016-06-13,155.7016,23.8325,50.1300,35.2125,35.3195,113.0200,1.1680,14.3647,278.2600,28.7600
2016-06-20,160.2186,23.3500,49.8300,34.2600,34.9480,112.0800,1.1432,12.8767,273.7700,28.5700
2016-06-27,162.3389,23.9725,51.1600,35.5125,36.2840,114.1900,1.1665,14.4333,286.1700,29.8500
2016-07-04,163.1686,24.1700,52.3000,35.8890,37.2905,117.2400,1.2713,14.4520,309.9100,32.8000
2016-07-11,170.3591,24.6950,53.7000,36.7815,36.7720,116.8600,1.3175,14.6933,317.5200,32.5000
2016-07-18,170.7278,24.6650,56.5700,37.9640,37.2430,121.0000,1.3668,14.8180,307.9200,30.1200
2016-07-25,171.9262,26.0525,56.6800,39.5670,37.9405,123.9400,1.4275,15.6527,313.1500,32.4900
2016-08-01,170.1747,26.8700,57.9600,40.3465,38.2990,125.1500,1.4550,15.3353,305.9300,30.9200
2016-08-08,173.1246,27.0450,57.9400,40.3525,38.6280,124.8800,1.5760,15.0407,316.9700,31.1500
2016-08-15,186.0306,27.3400,57.6200,39.9825,37.8655,123.5600,1.5565,15.0000,306.4800,31.2900
2016-08-22,184.7400,26.7350,58.0300,39.6610,38.4500,124.9600,1.5508,14.6660,301.4500,31.0100
2016-08-29,186.0306,26.9325,57.6700,39.8435,38.6220,126.5100,1.5632,13.1853,305.7800,31.3700
2016-09-05,197.0929,25.7825,56.2100,39.4240,38.0070,127.1000,1.4880,12.9647,304.6300,31.0100
2016-09-12,193.4055,28.7300,57.2500,39.8985,38.9260,129.0700,1.5710,13.6933,299.5700,29.5000
2016-09-19,201.1491,28.1775,57.4300,40.7480,40.2875,127.9600,1.6237,13.8300,297.6800,30.7300
2016-09-26,196.3554,28.2625,57.6000,40.2030,41.8655,128.2700,1.7130,13.6020,297.9100,31.0800
2016-10-03,199.3054,28.5150,57.8000,40.0355,41.9715,128.9900,1.6712,13.1073,297.9100,31.0800
2016-10-10,192.6680,29.4075,57.4200,40.2300,41.1480,127.8800,1.6497,13.1007,305.6000,31.3600
2016-10-17,197.4617,29.1500,59.6600,41.2030,40.9495,132.0700,1.6885,13.3393,304.1900,31.6800
2016-10-24,191.7461,28.4300,59.8700,40.9780,38.8160,131.2900,1.7640,13.3313,317.0500,34.6100
2016-10-31,184.3713,27.2100,58.7100,39.0550,37.7525,120.7500,1.6892,12.7040,314.8200,34.1300
2016-11-07,184.3713,27.1075,59.0200,38.5875,36.9505,119.0200,2.1992,12.5707,315.0800,34.5000
2016-11-14,180.1308,27.5150,60.3500,38.7985,38.0080,117.0200,2.3340,12.3347,310.0000,33.2900
2016-11-21,177.9183,27.9475,60.5300,39.0115,39.0185,120.3800,2.3540,13.1100,316.8900,33.6500
2016-11-28,176.0746,27.4750,59.2500,38.2230,37.0170,115.4000,2.2113,12.0980,321.7700,33.6000
2016-12-05,173.4934,28.4875,61.9700,40.4725,38.4330,119.6800,2.2955,12.8120,337.8300,34.3200
2016-12-12,169.5294,28.9925,62.3000,40.4920,37.8885,119.8700,2.5103,13.4993,327.5800,32.9800
2016-12-19,165.6576,29.1300,63.2400,40.3900,38.0295,117.2700,2.7445,14.2227,320.0300,32.3900
2016-12-26,174.8762,28.9550,62.1400,39.6225,37.4935,115.0500,2.6685,14.2460,334.1500,33.0000
2017-01-02,179.8542,29.4775,62.8400,41.2605,39.7995,123.4100,2.5775,15.2673,350.7600,34.4300
2017-01-09,184.0947,29.7600,62.7000,41.5470,40.8570,128.3400,2.5858,15.8500,344.8700,33.1000
2017-01-16,182.2510,30.0000,62.7400,41.4085,40.4165,127.0400,2.6003,16.3153,354.9900,34.0800
2017-01-23,188.4275,30.4875,65.7800,42.2515,41.7885,132.1800,2.7943,16.8633,344.4200,33.6900
2017-01-30,188.9806,32.2700,63.6800,41.0065,40.5100,130.9800,2.8595,16.7553,346.8500,32.9000
2017-02-06,186.7681,33.0300,64.0000,41.7425,41.3730,134.1900,2.8405,17.9487,345.0800,34.7100
2017-02-13,195.6179,33.9300,64.6200,42.3275,42.2535,133.5300,2.6807,18.1487,350.5600,37.0000
2017-02-20,194.6961,34.1650,64.6200,42.3905,42.2620,135.4400,2.5365,17.1333,362.6200,38.3600
2017-02-27,191.0087,34.9450,64.2500,42.4540,42.4940,137.1700,2.4608,16.7713,356.5400,38.5000
2017-03-06,195.8023,34.7850,64.9300,43.0705,42.6230,138.7900,2.4780,16.2460,369.8500,39.5000
2017-03-13,204.6521,34.9975,64.8700,43.6185,42.6155,139.8400,2.6518,17.4333,378.4800,39.7700
2017-03-20,207.6021,35.1600,64.9800,41.7570,42.2805,140.3400,2.6867,17.5440,386.8200,42.0600
2017-03-27,205.3896,35.9150,65.8600,42.3900,44.3270,142.0500,2.7232,18.5533,386.3600,42.1900
2017-04-03,209.4458,35.8350,65.6800,42.1050,44.7440,140.7800,2.5082,20.1693,392.8700,41.5500
2017-04-10,212.5801,35.2625,64.9500,42.0090,44.2335,139.3900,2.3872,20.2667,395.4500,41.1600
2017-04-17,217.9269,35.5675,66.4000,42.9475,44.9265,143.6800,2.5420,20.3733,400.5300,45.6800
2017-04-24,224.3799,35.9125,68.4600,46.2260,46.2495,150.2500,2.6075,20.9380,413.4800,46.5000
2017-05-01,224.7486,37.2400,69.0000,47.5140,46.7075,150.2400,2.5965,20.5567,416.1900,45.4100
2017-05-08,238.0233,39.0250,68.3800,47.7570,48.0675,150.3300,3.1972,21.6540,413.4700,46.3300
2017-05-15,247.4263,38.2650,67.6900,47.7325,47.9920,148.0600,3.4000,20.7220,440.8200,47.2200
2017-05-22,256.2761,38.4025,69.9600,49.6635,49.7890,152.1300,3.5460,21.6760,451.9200,48.5300
2017-05-29,248.9012,38.8625,71.7600,49.8060,50.3365,153.6100,3.5910,22.6567,447.3100,47.4600
2017-06-05,255.7230,37.2450,70.3200,48.5060,48.9155,149.6000,3.7400,23.8213,465.7400,49.8500
2017-06-12,251.2981,35.5675,70.0000,47.9310,49.3855,150.6400,3.7905,24.7600,462.6300,49.3100
2017-06-19,258.3042,36.5700,71.2100,49.3045,50.1870,155.0700,3.8458,25.5633,472.7300,50.0400
2017-06-26,257.3823,36.0050,68.9300,46.4840,48.4000,150.9800,3.6140,24.1073,471.8500,50.5800
2017-07-03,247.9794,36.0450,69.4600,47.0405,48.9380,151.4400,3.6690,20.8813,445.9700,48.2500
2017-07-10,262.5447,37.2600,72.7800,48.8455,50.0905,159.9700,4.1238,21.8520,456.4100,49.1600
2017-07-17,273.7914,37.5675,73.7900,49.6920,51.2835,164.4300,4.2025,21.8933,473.2000,51.3800
2017-07-24,280.9818,37.3750,73.0400,47.9165,51.0020,172.4500,4.1097,22.3380,483.9200,55.1300
2017-07-31,287.0661,39.0975,72.6800,47.2895,49.3790,169.6200,4.1803,23.7940,473.6400,53.3500
2017-08-07,286.3286,39.3700,72.5000,46.5045,48.3995,168.0800,3.8990,23.8580,484.0600,56.5900
2017-08-14,300.3408,39.3750,72.4900,46.3090,47.9235,167.4100,4.0375,23.1640,489.6500,56.1000
2017-08-21,302.7377,39.9650,72.8200,46.5250,47.2630,166.3200,4.0953,23.2033,492.9900,53.9500
2017-08-28,300.7096,41.0125,73.9400,47.5995,48.9125,172.0200,4.2615,23.6933,495.1800,55.2500
2017-09-04,296.6534,39.6575,73.9800,47.0705,48.2950,170.9500,4.0922,22.8933,474.3700,51.5400
2017-09-11,312.3250,39.9700,75.3100,46.7645,49.3395,171.6400,4.5027,25.3207,489.8400,54.9900
2017-09-18,319.1467,37.9725,74.4100,47.1630,47.7550,170.5400,4.4750,23.4060,499.9300,55.6400
2017-09-25,309.9281,38.5300,74.4900,48.6860,48.0675,170.8700,4.4693,22.7400,517.6400,56.1000
2017-10-02,324.4935,38.8250,76.0000,49.6820,49.4790,172.2300,4.5325,23.7920,517.6400,56.1000
2017-10-09,321.9123,39.2475,77.4900,50.3935,50.1470,173.7400,4.8647,23.7047,556.1500,59.0000
2017-10-16,322.2810,39.0625,78.8100,50.2535,49.1455,174.9800,4.9225,23.0067,574.3300,58.0100
2017-10-23,320.6217,40.7625,83.8100,51.6835,55.0475,177.8800,5.0465,21.3913,649.6300,59.8000
2017-10-30,339.2432,43.1250,84.1400,52.4995,55.5800,178.9200,5.2172,20.4060,639.1700,64.9100
2017-11-06,355.2835,43.6675,83.8700,52.2075,56.2675,178.4600,5.4035,20.1993,677.9500,68.4900
2017-11-13,371.8769,42.5375,82.4000,51.7945,56.4940,179.0000,5.2840,21.0033,690.2500,69.0100
2017-11-20,383.3079,43.7425,83.2600,52.8260,59.3000,182.7800,5.4240,21.0367,630.0400,64.1600
2017-11-27,354.9147,42.7625,84.2600,51.2535,58.1175,175.1000,4.9420,20.4353,622.3500,60.0100
2017-12-04,363.2114,42.3425,84.1600,52.4690,58.1000,179.0000,4.7873,21.0087,627.2800,60.7000
2017-12-11,358.6022,43.4925,86.8500,53.6000,58.9570,180.1800,4.7890,22.8967,653.7900,65.0000
2017-12-18,374.0894,43.7525,85.5100,53.4430,58.4180,177.2000,4.8818,21.6800,682.9200,66.1200
2017-12-25,374.2737,42.3075,85.5400,52.6700,58.4735,176.4600,4.8375,20.7567,697.4900,66.0000
2018-01-01,399.3482,43.7500,88.1900,55.5145,61.4570,186.8500,5.3850,21.1053,738.3600,68.0500
2018-01-08,407.6449,44.2725,89.6000,56.5325,65.2600,179.3700,5.5745,22.4147,788.4200,71.0200
2018-01-15,417.0479,44.6150,90.0000,57.1750,64.7290,181.2900,5.7527,23.3347,750.1800,67.8900
2018-01-22,434.3788,42.8775,94.0600,59.3780,70.1025,190.0000,6.0833,22.8567,777.2200,68.9900
2018-01-29,417.0479,40.1250,91.7800,55.9600,71.4975,190.2800,5.8380,22.9167,740.4000,63.4000
2018-02-05,375.5643,39.1025,88.1800,52.3135,66.9800,176.1100,5.8020,20.6947,683.4300,55.4500
2018-02-12,412.0698,43.1075,92.0000,54.7750,72.4345,177.3600,6.0960,22.3660,718.4500,59.3000
2018-02-19,417.9697,43.8750,94.0600,56.4045,75.0000,183.2900,6.1483,23.4700,742.4800,61.8600
2018-02-26,401.9294,44.0525,93.0500,54.2070,75.0125,176.6200,5.9135,22.3413,736.4100,59.6900
2018-03-05,412.0698,44.9950,96.5400,58.0420,78.9445,185.2300,6.1333,21.8113,728.2000,59.8200
2018-03-12,428.8476,44.5050,94.6000,56.7210,78.5840,185.0900,6.2620,21.4233,739.8500,60.7800
2018-03-19,387.1797,41.2350,87.1800,51.3275,74.7780,159.3900,5.8243,20.1027,711.0600,56.9500
2018-03-26,377.5924,41.9450,91.2700,51.8570,72.3670,159.7900,5.7898,17.7420,683.6200,56.7500
2018-04-02,374.0894,42.0950,90.2300,50.4975,70.2615,157.2000,5.3562,19.9533,694.0100,60.7100
2018-04-09,376.1174,43.6825,93.0800,51.8020,71.5395,164.5200,5.7875,20.0227,686.8600,60.4100
2018-04-16,368.9269,41.4300,95.0000,53.8660,76.3745,166.2800,5.7178,19.3493,670.2600,60.4900
2018-04-23,358.0490,40.5800,95.8200,51.5725,78.6310,173.5900,5.6582,19.6053,662.5300,60.2300
2018-04-30,352.8867,45.9575,95.1600,52.5500,79.0475,176.6100,5.9765,19.6060,662.8700,60.6200
2018-05-07,376.8549,47.1475,97.7000,55.1690,80.1455,186.9900,6.3632,20.0707,718.0200,64.9000
2018-05-14,378.8830,46.5775,96.3600,53.4820,78.7185,182.6800,6.1485,18.4547,739.3200,65.9500
2018-05-21,372.4300,47.1450,98.3600,54.2040,80.5075,184.9200,6.2320,18.5900,716.8600,66.0500
2018-05-28,372.4300,47.5600,100.7900,56.7500,82.0770,193.9900,6.4405,19.4547,745.1100,67.6800
2018-06-04,382.5704,47.9250,101.6300,56.6355,84.1995,189.1000,6.5570,21.1773,777.9500,68.2900
2018-06-11,377.9612,47.2100,100.1300,57.9635,85.7985,195.8500,6.6315,23.8780,773.3300,67.2300
2018-06-18,366.3458,46.2300,100.4100,58.4645,85.7835,201.7400,6.2737,22.2420,766.5300,66.0500
2018-06-25,363.0271,46.2775,98.6100,56.4595,84.9900,194.3200,5.9225,22.8633,731.4600,60.8600
2018-07-02,356.3897,46.9925,101.1600,57.7540,85.5315,203.2300,6.1832,20.5933,714.1200,55.3400
2018-07-09,351.2273,47.8325,105.4300,60.2210,90.6515,207.3200,6.2330,21.2580,746.9900,60.4900
2018-07-16,347.1711,47.8600,106.2700,59.8940,90.6850,209.9400,6.2723,20.9053,741.1300,56.3700
2018-07-23,343.8524,47.7450,107.6800,62.6445,90.8635,174.8900,6.3005,19.8120,738.5600,56.2000
2018-07-30,322.4654,51.9975,108.0400,61.9080,91.1645,177.7800,6.3025,23.2113,678.9900,48.6800
2018-08-06,341.0869,51.8825,109.0000,62.6255,94.3150,180.2600,6.3698,23.6993,687.1800,49.0700
2018-08-13,310.6656,54.3950,107.5800,60.7925,94.1110,173.8000,6.1205,20.3667,634.8600,44.1100
2018-08-20,326.3372,54.0400,108.4000,61.8375,95.2695,174.6500,6.8055,21.5213,660.3000,45.2500
2018-08-27,313.4312,56.9075,112.3300,61.5900,100.6355,175.7300,7.0170,20.1107,659.1900,43.0900
2018-09-03,292.0441,55.3250,108.2100,58.8795,97.6035,163.0400,6.7965,17.5493,650.9700,41.0600
2018-09-10,304.2126,55.9600,113.3700,58.8990,98.5095,162.3200,6.9107,19.6800,642.9000,41.3800
2018-09-17,308.2688,54.4150,114.2600,58.6060,95.7505,162.9300,6.5862,19.9400,700.0100,47.3100
2018-09-24,297.9440,56.4350,114.3700,60.3540,100.1500,164.4600,7.0255,17.6513,730.0000,47.5100
2018-10-01,281.1662,56.0725,112.1300,58.3915,94.4825,157.3300,6.7465,17.4633,730.0000,47.5100
2018-10-08,265.8634,55.5275,109.5700,56.0270,89.4305,153.7400,6.1635,17.2520,668.0000,43.6500
2018-10-15,259.9635,54.8275,108.6600,55.2590,88.2015,154.0500,5.7292,17.3333,670.0000,43.2500
2018-10-22,239.6827,54.0750,106.9600,54.1875,82.1405,145.3700,4.9573,22.0600,610.1000,38.3600
2018-10-29,279.8756,51.8700,106.1600,53.5745,83.2765,150.3500,5.3730,23.0940,599.9000,41.0000
2018-11-05,257.3823,51.1175,109.5700,53.8510,85.6215,144.9600,5.1417,23.3673,562.0000,38.9700
2018-11-12,267.7071,48.3825,108.2900,53.4135,79.6705,139.5300,4.1108,23.6207,560.0000,40.2900
2018-11-19,268.4446,43.0725,103.0700,51.5050,75.1030,131.7300,3.6250,21.7220,556.9000,40.2300
2018-11-26,287.6192,44.6450,110.8900,55.4825,84.5085,140.6100,4.0858,23.3653,565.0000,41.0000
2018-12-03,286.3286,42.1225,104.8200,52.3290,81.4565,137.4200,3.6902,23.8647,587.0000,42.6100
2018-12-10,284.6693,41.3700,106.0300,52.5855,79.5955,144.0600,3.6613,24.3807,592.9600,43.2000
2018-12-17,290.5692,37.6825,98.2300,49.5625,68.8725,124.9500,3.2392,21.3180,567.4100,39.6800
2018-12-24,285.7755,39.0575,100.3900,52.3340,73.9010,133.2000,3.3412,22.2580,590.0100,40.6600
2018-12-31,286.3286,37.0650,101.9300,53.9035,78.7695,137.9500,3.4048,21.1793,602.0000,38.9700
2019-01-07,305.3188,38.0725,102.8000,53.2235,82.0280,143.8000,3.7208,23.1507,635.8800,39.3000
2019-01-14,310.6656,39.2050,107.7100,55.3650,84.8100,150.0400,3.9232,20.1507,683.6100,42.2000
2019-01-21,316.9342,39.4400,107.1700,55.0755,83.5285,149.0100,4.0037,19.8027,679.7000,42.7200
2019-01-28,320.8060,41.6300,102.7800,55.9310,81.3115,165.7100,3.6182,20.8140,692.6700,43.7500
2019-02-04,318.5936,42.6025,105.6700,55.1190,79.4110,167.3300,3.7043,20.3867,692.6700,43.7500
2019-02-11,307.7157,42.6050,108.2200,55.9815,80.3975,162.5000,3.9335,20.5253,724.7800,47.7000
2019-02-18,317.1186,43.2425,110.9700,55.8280,81.5780,161.8900,3.9797,19.6473,726.0100,50.1000
2019-02-25,309.9281,43.7425,112.5300,57.4260,83.5865,162.2800,3.9113,19.6527,789.3000,53.4900
2019-03-04,319.8842,43.2275,110.5100,57.4985,81.0400,169.6000,3.7660,18.9427,737.5000,49.8800
2019-03-11,330.9465,46.5300,115.9100,59.5150,85.6180,165.9800,4.2453,18.3620,777.3000,53.2700
2019-03-18,336.4776,47.7625,117.0500,60.3825,88.2385,164.3400,4.4375,17.6353,794.0000,61.0300
2019-03-25,332.7902,47.4875,117.9400,58.8445,89.0375,166.6900,4.4890,18.6573,853.9900,66.5800
2019-04-01,346.6180,49.2500,119.8900,60.5725,91.8640,175.7200,4.7737,18.3307,865.0000,67.9000
2019-04-08,363.0271,49.7175,120.9500,61.1365,92.1530,179.1000,4.7502,17.8467,914.0000,69.6000
2019-04-15,360.9990,50.9650,123.3700,62.0735,93.0845,178.2800,4.6575,18.2173,952.5600,69.1400
2019-04-22,353.9929,51.0750,129.8900,63.8710,97.5315,191.4900,4.4523,15.6760,945.0000,75.4300
2019-04-29,357.4959,52.9375,128.9000,59.4775,98.1230,195.4700,4.5753,17.0020,974.0000,77.8800
2019-05-06,352.1492,49.2950,127.1300,58.3820,94.4990,188.3400,4.2205,15.9680,907.1200,71.8100
2019-05-13,327.9965,47.2500,128.0700,58.4390,93.4500,185.3000,3.9132,14.0687,906.7900,77.3500
2019-05-20,299.4190,44.7425,126.2400,56.9305,91.1640,181.0600,3.6288,12.7087,878.5000,72.2000
2019-05-27,300.5252,43.7675,123.6800,55.3250,88.7535,177.4700,3.3865,12.3440,890.0000,70.6300
2019-06-03,304.5814,47.5375,131.4000,53.4185,90.2015,173.3500,3.6375,13.6333,862.1300,66.8000
2019-06-10,304.2126,48.1850,132.4500,54.3150,93.4835,181.3300,3.6160,14.3280,913.0000,70.2400
2019-06-17,326.7059,49.6950,136.9700,56.2685,95.5650,191.1400,3.7940,14.7907,976.3000,75.8000
2019-06-24,325.0466,49.4800,133.9600,54.1400,94.6815,193.0000,4.1058,14.8973,984.0000,80.8300
2019-07-01,331.6840,51.0575,137.0600,56.6335,97.1455,196.4000,4.0058,15.5400,999.8200,84.9000
2019-07-08,327.2590,50.8250,138.9000,57.2670,100.5500,204.8700,4.1902,16.3387,986.0900,88.4500
2019-07-15,333.5276,50.6475,136.6200,56.5775,98.2260,198.3600,4.2110,17.2120,955.8700,84.4500
2019-07-22,341.2713,51.9350,141.3400,62.2610,97.1525,199.7500,4.3767,15.2027,965.0300,82.2100
2019-07-29,327.9965,51.0050,136.9000,59.8160,91.1620,189.0200,4.0297,15.6227,954.4500,79.8100
2019-08-05,311.9562,50.2475,137.7100,59.4450,90.3790,187.8500,3.8545,15.6673,962.0300,77.3800
2019-08-12,300.8940,51.6250,136.1300,58.9605,89.6285,183.7000,3.9890,14.6627,1054.6000,86.0000
2019-08-19,308.0844,50.6600,133.3900,57.6790,87.4810,177.7500,4.0610,14.0933,1130.1000,88.6900
2019-08-26,299.4190,52.1850,137.8600,59.5265,88.8145,185.6700,4.1877,15.0407,1142.0000,96.8800
2019-09-02,316.5655,53.3150,139.1000,60.3160,91.6755,187.4900,4.4662,15.1633,1142.4900,94.0300
2019-09-09,322.2810,54.6875,137.3200,62.0015,91.9670,187.1900,4.5485,16.3467,1099.0000,88.8900
2019-09-16,311.2188,54.4325,139.4400,61.4920,89.7080,189.9300,4.3172,16.0413,1157.4200,89.0000
2019-09-23,303.6595,54.7050,137.7300,61.2975,86.2725,177.1000,4.2940,16.1420,1174.7500,87.2200
2019-09-30,297.5753,56.7525,138.1200,60.5480,86.9825,180.4500,4.5493,15.4287,1150.0000,85.2200
2019-10-07,299.4190,59.0525,139.6800,60.7855,86.5960,184.1900,4.6498,16.5260,1174.6000,87.6700
2019-10-14,305.1345,59.1025,137.4100,62.2205,87.8755,185.8500,4.7622,17.1300,1175.7900,84.5000
